Number,State,IDState,Actorkey,ActorkeyState,Análisis_suelo_18,Análisis_foliar_18,Biofertilizantes_18,Bioinsecticidas_18,Cal_micronizada_18,Camas_permanentes_18,Composta_18,Criollos_mejorados_18,Cultivos_cobertura_18,Desvare_18,Feromonas_18,Fertilización_18,Insectos_benéficos_18,Maíz_hibrídos_MasAgro_18,Maíz_mejorado_MasAgro_18,Mejoradores_suelo_18,Micorrizas_18,Micronutrientes_18,Monitoreo_plagas_18,Nivelación_suelos_18,Poscosecha_18,Rastra_18,Rastrojo_18,Semillas_mejoradas_diversas_18,Siembra_directa_18,Subsoleo_18,Tratamiento_semillas_18,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Cli18,Rad18,Cli17,Int17,Rad17,Rend17,Auto17,Edad18,Sup18,Rend18,Esc18,Auto18,Int18,CRend,Crad,CCli,CAuto,Cint
404,Chiapas,CHP,ER1187,CHPER1187,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28.57142857,0,28.57142857,1,0,0.021,0,0,0,1,100,62,2.02,1.3,3,100,0,0.3,0.021,0,0,0
405,Chiapas,CHP,ER1188,CHPER1188,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,0.4,100,75,1.55,0.6,3,100,0,0.2,0.021,0,0,0
406,Chiapas,CHP,ER1189,CHPER1189,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,0,21.42857143,1,0,0.021,0,0,0,0.4,100,58,1.13,0.6,6,100,0,0.2,0.021,0,0,0
407,Chiapas,CHP,ER119,CHPER119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,7.692307692,13.73626374,1,1,0.042,1,0,0.023,4,30,34,4,4,6,20,0,0,0.019,0,-10,0
408,Chiapas,CHP,ER1190,CHPER1190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,0.3,100,63,0.73,0.6,2,100,0.063,0.3,0.021,0,0,0.063
409,Chiapas,CHP,ER1191,CHPER1191,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,21.42857143,0,21.42857143,1,0,0.021,0,0,0,1.2,100,57,0.4,1.2,2,100,0,0,0.021,0,0,0
410,Chiapas,CHP,ER1192,CHPER1192,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.71428571,0,35.71428571,1,0,0.021,0,0,0,1.7,100,76,2,1.55,9,100,0,-0.15,0.021,0,0,0
411,Chiapas,CHP,ER1193,CHPER1193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.28571429,0,14.28571429,1,0,0.021,0,0,0,0.6,100,63,1.35,0.8,3,100,0,0.2,0.021,0,0,0
412,Chiapas,CHP,ER1194,CHPER1194,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,0,21.42857143,1,0,0.021,0,0,0,0.9,100,41,1,1,4,100,0,0.1,0.021,0,0,0
413,Chiapas,CHP,ER1195,CHPER1195,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,0,21.42857143,1,0,0.021,0,0,0,0.6,100,61,1,2.6,9,100,0,2,0.021,0,0,0
414,Chiapas,CHP,ER1196,CHPER1196,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,0,21.42857143,1,0,0.021,0,0,0,1,100,83,1,1,6,100,0,0,0.021,0,0,0
415,Chiapas,CHP,ER1198,CHPER1198,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28.57142857,0,28.57142857,1,0,0.021,0,0,0,0.6,100,57,1,0.7,2,100,0,0.1,0.021,0,0,0
416,Chiapas,CHP,ER120,CHPER120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21.42857143,7.692307692,13.73626374,1,1,0.052,1,0,0.034,3,30,35,3,4,3,20,0,1,0.018,0,-10,0
