Num,Clave_Nal,InAI18,InAI17,Cambio_InAI,Cambio_InAI_Factor2,Edad18,Sup18,Esc18,CRend,Crad,CCli,CPrec,CAuto,Cint
6196,MEXER1937,13.33333333,21.42857143,-8.095238095,0,66,2.52,9,1.8,0.022,2,-500,-50,0
6197,MEXER1940,6.666666667,7.142857143,-0.476190476,0,59,1,0,1,0.022,0,-100,0,0
6198,MEXER1941,13.33333333,21.42857143,-8.095238095,0,60,2.6,0,0.5,0.03,0,300,0,0
6199,MEXER1942,6.666666667,7.142857143,-0.476190476,0,60,1,0,1,0.03,0,-100,0,0
6200,MEXER1943,6.666666667,7.142857143,-0.476190476,0,69,2,0,0.5,0.022,1,-500,0,0
6201,MEXER1947,6.666666667,14.28571429,-7.619047619,0,71,0.69,0,1.5,0.022,1,0,-30,0.022
6202,MEXER1952,20,28.57142857,-8.571428571,0,69,2,6,-1.5,0.022,0,6000,10,0
6203,MEXER1954,6.666666667,14.28571429,-7.619047619,0,78,1.11,3,1.2,0.022,0,-800,20,0
6204,MEXER1956,13.33333333,14.28571429,-0.952380952,0,78,3,0,-2.5,0.016,0,0,0,0
6205,MEXER1957,13.33333333,14.28571429,-0.952380952,0,59,1.3,0,1,0.038,0,-200,0,0
6206,MEXER1959,6.666666667,7.142857143,-0.476190476,0,68,2.5,0,0.4,0.022,0,750,0,0
6207,MEXER1960,6.666666667,7.142857143,-0.476190476,0,68,1.5,5,0.7,0.022,1,-600,0,0
6208,MEXER1961,6.666666667,21.42857143,-14.76190476,0,74,2,6,2,0.022,0,200,0,0
6209,MEXER1964,6.666666667,0,6.666666667,1,76,1.15,6,0.2,0.022,0,-1900,0,0
6210,MEXER1965,6.666666667,7.142857143,-0.476190476,0,89,1.14,6,0.5,0.022,0,0,0,0
6211,MEXER1966,6.666666667,7.142857143,-0.476190476,0,65,1.35,0,0,0.022,0,500,0,0
6212,MEXER1967,13.33333333,7.142857143,6.19047619,1,83,0.42,1,0.05,0.022,1,6000,-90,0
6213,MEXER1969,6.666666667,14.28571429,-7.619047619,0,48,0.5,9,-0.7,0.022,1,0,-50,0
6214,MEXER1970,13.33333333,50,-36.66666667,0,73,0.81,2,0,0.022,0,-800,0,0
6215,MEXER1972,13.33333333,7.142857143,6.19047619,1,66,1.03,6,0.7,0.03,0,-400,50,0
6216,MEXER1974,20,14.28571429,5.714285714,1,69,0.58,3,0.5,0.038,1,-500,0,0
6217,MEXER1975,6.666666667,7.142857143,-0.476190476,0,58,0.7,0,1.5,0.022,0,300,0,0
6218,MEXER1976,6.666666667,28.57142857,-21.9047619,0,62,0.69,0,1.5,0.007,0,2100,0,0
6219,MEXER1977,6.666666667,7.142857143,-0.476190476,0,95,1.13,3,0.7,0.022,0,-250,50,0
6220,MEXER1978,6.666666667,7.142857143,-0.476190476,0,62,0.5,0,0.5,0.022,0,-2200,0,0
6221,MEXER1979,26.66666667,14.28571429,12.38095238,1,62,0.5,6,-0.5,0.022,1,6000,-100,0
6222,MEXER1980,13.33333333,28.57142857,-15.23809524,0,53,0.5,5,1,0.03,0,-800,0,0
6223,MEXER1981,6.666666667,35.71428571,-29.04761905,0,86,1.06,6,0.3,0.022,0,-1500,0,0
6224,MEXER1982,20,28.57142857,-8.571428571,0,90,0.5,6,-0.4,0.03,0,-400,50,0
6225,MEXER1983,6.666666667,35.71428571,-29.04761905,0,83,1.09,6,0.4,0.022,0,-50,0,0
6226,MEXER1984,6.666666667,35.71428571,-29.04761905,0,51,1.29,0,2,0.007,1,-3000,0,0
6227,MEXER1987,13.33333333,21.42857143,-8.095238095,0,59,2,0,1,0.03,0,-1000,0,0
6228,MEXER1991,33.33333333,28.57142857,4.761904762,1,76,1,3,-0.5,0.045,0,-1300,70,0
6229,MEXER1994,0,28.57142857,-28.57142857,0,63,2,6,-0.3,0,-1,-250,70,0
6230,MEXER1997,20,28.57142857,-8.571428571,0,66,3,5,2.4,0.045,0,-200,-20,0
6231,MEXER1998,26.66666667,28.57142857,-1.904761905,0,74,1.5,3,1,0.045,0,-700,60,0
6232,MEXER1999,20,28.57142857,-8.571428571,0,75,2,6,2.1,0.045,1,0,-10,0
6233,MEXER2002,26.66666667,35.71428571,-9.047619048,0,39,2,6,1.4,0.045,1,1300,-100,0
6234,MEXER2007,26.66666667,28.57142857,-1.904761905,0,58,3,4,2.8,0.045,1,-1500,-20,0
6235,MEXER2008,20,35.71428571,-15.71428571,0,48,2,9,1.9,0.045,1,800,-100,0
6236,MEXER2009,26.66666667,0,26.66666667,1,52,10,6,14.3,0.045,1,0,-20,0
6237,MEXER2011,26.66666667,28.57142857,-1.904761905,0,66,2,4,1.3,0.045,0,550,0,0
6238,MEXER2012,26.66666667,0,26.66666667,1,57,3,6,3,0.045,1,1000,-20,0
6239,MEXER2014,0,21.42857143,-21.42857143,0,76,2,2,-0.1,0,-1,-100,50,0
6240,MEXER2015,13.33333333,21.42857143,-8.095238095,0,67,2,12,0.3,0.022,0,-650,0,0
6241,MEXER2016,0,21.42857143,-21.42857143,0,82,1.25,8,-0.3,0,0,800,0,0
6242,MEXER2017,26.66666667,21.42857143,5.238095238,1,45,2,3,1.3,0.045,1,900,-20,0
6243,MEXER2018,6.666666667,21.42857143,-14.76190476,0,83,1,4,-0.5,0.007,-1,-1400,0,0
6244,MEXER2019,6.666666667,21.42857143,-14.76190476,0,83,1,3,-1,0.007,0,-400,30,0
6245,MEXER2020,13.33333333,28.57142857,-15.23809524,0,58,3,4,0.5,0.045,0,-1000,90,0
6246,MEXER2021,26.66666667,28.57142857,-1.904761905,0,67,6,6,0,0.067,0,-100,-14,0.089
6247,MEXER2022,6.666666667,35.71428571,-29.04761905,0,74,1.5,5,1.5,0.007,0,-600,-15,0
6248,MEXER2023,6.666666667,35.71428571,-29.04761905,0,73,3,5,2.3,-0.007,-1,-1500,80,0
6249,MEXER2024,6.666666667,28.57142857,-21.9047619,0,70,1,5,-1,0.007,0,-1400,65,0
6250,MEXER2025,20,21.42857143,-1.428571429,0,48,4,7,3.5,0.016,-1,-2100,90,0
6251,MEXER2027,6.666666667,28.57142857,-21.9047619,0,54,3,9,-0.5,0.007,0,-1600,71,0
6252,MEXER2028,6.666666667,21.42857143,-14.76190476,0,60,3,5,0.5,0,0,-300,0,0
6253,MEXER2032,20,28.57142857,-8.571428571,0,76,0.45,6,-1.2,0.03,0,-300,0,0
6254,MEXER2043,13.33333333,57.14285714,-43.80952381,0,83,1.5,8,0.4,0.016,0,-800,0,0
6255,MEXER2048,13.33333333,7.142857143,6.19047619,1,51,3,3,3,0.027,0,-1200,42,0
6256,MEXER2055,13.33333333,28.57142857,-15.23809524,0,73,4,6,1,0.001,-1,-1000,80,0
